Programme Code,Total Placed,Male,Female,Year
1253101,592,257,335,2015
1253107,30,19,11,2015
1253112,25,16,9,2015
1253115,38,27,11,2015
1253120,175,132,43,2015
1253128,10,5,5,2015
1253131,47,33,14,2015
1253132,29,12,17,2015
1253134,52,29,23,2015
1253135,602,328,274,2015
1253137,204,139,65,2015
1253144,150,75,75,2015
1253150,57,40,17,2015
1253151,230,135,95,2015
1253157,66,37,29,2015
1253161,27,7,20,2015
1253164,57,32,25,2015
1253166,59,18,41,2015
1253169,28,6,22,2015
1253171,146,46,100,2015
1253182,69,36,33,2015
1253187,47,22,25,2015
1253188,22,9,13,2015
1253189,106,56,50,2015
1253201,492,205,287,2015
1253215,88,58,30,2015
1253222,55,25,30,2015
1253229,22,12,10,2015
1253234,55,27,28,2015
1253237,79,38,41,2015
1253292,102,61,41,2015
1253293,23,14,9,2015
1253299,79,38,41,2015
1253324,86,36,50,2015
1253326,63,30,33,2015
1253327,81,46,35,2015
1253331,139,82,57,2015
1253337,82,21,61,2015
1253415,24,17,7,2015
1253418,103,72,31,2015
1253428,21,16,5,2015
1253435,41,16,25,2015
1253450,71,25,46,2015
1253490,48,34,14,2015
1253491,32,22,10,2015
1253492,35,23,12,2015
1253493,80,44,36,2015
1253494,197,107,90,2015
1253495,22,8,14,2015
1253496,55,39,16,2015
1253561,23,14,9,2015
1253594,22,15,7,2015
1253598,72,51,21,2015
1253599,23,15,8,2015
1253600,33,29,4,2015
1253616,24,17,7,2015
1253617,24,21,3,2015
1253621,85,31,54,2015
1253646,107,59,48,2015
1253655,119,35,84,2015
1253656,103,38,65,2015
1253680,79,32,47,2015
1253697,22,16,6,2015
1253718,23,17,6,2015
1253101,646,356,290,2016
1253107,30,20,10,2016
1253112,24,15,9,2016
1253115,33,25,8,2016
1253120,149,80,69,2016
1253128,11,8,3,2016
1253131,54,38,16,2016
1253132,26,16,10,2016
1253134,50,32,18,2016
1253135,600,280,320,2016
1253137,205,138,67,2016
1253144,145,60,85,2016
1253150,56,38,18,2016
1253151,234,123,111,2016
1253157,65,31,34,2016
1253161,26,6,20,2016
1253164,33,23,10,2016
1253166,60,12,48,2016
1253169,22,12,10,2016
1253171,148,67,81,2016
1253182,72,36,36,2016
1253187,43,28,15,2016
1253188,22,9,13,2016
1253189,98,54,44,2016
1253194,20,13,7,2016
1253201,538,243,295,2016
1253215,91,61,30,2016
1253222,55,25,30,2016
1253229,19,9,10,2016
1253234,55,24,31,2016
1253237,80,25,55,2016
1253292,98,60,38,2016
1253293,24,20,4,2016
1253299,81,33,48,2016
1253324,100,48,52,2016
1253326,69,23,46,2016
1253327,81,45,36,2016
1253331,148,87,61,2016
1253337,76,14,62,2016
1253415,25,17,8,2016
1253418,89,65,24,2016
1253428,25,20,5,2016
1253435,39,20,19,2016
1253450,72,23,49,2016
1253490,49,34,15,2016
1253491,33,23,10,2016
1253492,35,23,12,2016
1253493,80,39,41,2016
1253494,249,131,118,2016
1253495,26,13,13,2016
1253496,54,38,16,2016
1253561,25,12,13,2016
1253594,25,18,7,2016
1253598,69,46,23,2016
1253599,23,16,7,2016
1253600,38,30,8,2016
1253616,24,20,4,2016
1253617,21,15,6,2016
1253621,100,38,62,2016
1253646,110,68,42,2016
1253656,152,51,101,2016
1253697,22,18,4,2016
1253718,21,20,1,2016
1253101,397,190,207,2017
1253107,31,18,13,2017
1253112,25,14,11,2017
1253115,35,25,10,2017
1253120,181,116,65,2017
1253123,25,14,11,2017
1253128,10,3,7,2017
1253131,52,28,24,2017
1253132,27,12,15,2017
1253134,51,14,37,2017
1253135,515,265,250,2017
1253137,212,153,59,2017
1253144,101,36,65,2017
1253150,55,30,25,2017
1253151,229,116,113,2017
1253157,66,39,27,2017
1253161,4,2,2,2017
1253164,62,47,15,2017
1253166,30,13,17,2017
1253169,1,0,1,2017
1253171,100,34,66,2017
1253182,51,24,27,2017
1253187,45,20,25,2017
1253188,21,7,14,2017
1253189,78,34,44,2017
1253194,21,14,7,2017
1253201,399,179,220,2017
1253215,69,45,24,2017
1253222,60,16,44,2017
1253229,20,9,11,2017
1253234,57,23,34,2017
1253237,84,23,61,2017
1253260,21,6,15,2017
1253292,81,46,35,2017
1253293,20,8,12,2017
1253299,79,40,39,2017
1253324,78,23,55,2017
1253326,71,22,49,2017
1253327,80,35,45,2017
1253331,147,118,29,2017
1253337,82,18,64,2017
1253415,23,12,11,2017
1253418,102,72,30,2017
1253428,21,18,3,2017
1253435,17,13,4,2017
1253450,88,23,65,2017
1253490,44,23,21,2017
1253491,20,10,10,2017
1253492,35,19,16,2017
1253493,80,39,41,2017
1253494,250,125,125,2017
1253495,27,7,20,2017
1253496,48,25,23,2017
1253561,26,8,18,2017
1253594,26,13,13,2017
